Suomen Valkoisen Ruusun suurristi / Storkorset av Finlands Vita Ros orden 
Alanen, Heli Aulikki, ympäristöneuvos, Helsinki
Anhava, Elsa Ilona, galleristi, Helsinki
Antikainen, Ari Veikko, kuljetusyrittäjä, Juankoski
Antikainen, Raimo Olavi, asiakkuuspäällikkö, Veteli
Anttila, Seppo Juhani, vastaava asiakkuusjohtaja, Espoo
Aro, Erkki Johannes, ympäristöagrologi, Vinkkilä
Aronen, Ilmo Pellervo, johtaja, Eura
Bergholm, Tapio Hannu Antero, erikoistutkija, Järvenpää
Cantell-Forsbom, Anna Margareta, palvelupäällikkö, Vantaa
Ebeling, Pertti Einar Johannes, kliininen opettaja, Espoo
Eerola, Saara Lilja Aulikki, lehtori, Helsinki
Erämaa, Antti Hannu, kansliapäällikkö, Savonlinna
Fortelius, Carl Gustaf Emil, tutkimuspäällikkö, Helsinki
Gerkman, Stefan Öyvind, polisöverinspektör, Esbo
Grönroos, Kaj Jarl, johtaja, Helsinki
Haapalainen, Petri Ilari, neuvotteleva virkamies, Helsinki
Hakala, Hannu Juhani Tapio, tutkija, Helsinki
Hakkarainen, Juha Kalevi, metsäjohtaja, Espoo
Hautamäki, Veli-Pekka, pelastusylitarkastaja, Porvoo
Heinonen, Ville Petteri, neuvotteleva virkamies, Espoo
Hellgren, Raimo Johannes, yli-insinööri, Espoo
Helminen, Kari Ensio, strategiapäällikkö, Helsinki
Hentinen, Aimo Kullervo, toiminnanjohtaja, Hollola
Holm, Yvonne Marianne, universitetslektor, Helsingfors
Hurtta, Heikki Juhani, tutkija, Helsinki
Huusela-Veistola, Erja Hanna Kristiina, vanhempi tutkija, Jokioinen
Hyvönen, Reijo Kalevi, johtava lakimies, Helsinki
Häll, Ari, johtaja, Helsinki
Hämäläinen, Hannu Juhani, ylilääkäri, Kinnula
Häyrinen, Vesa Pekka, neuvotteleva virkamies, Helsinki
Immanen-Pöyry, Jutta Päivi Elina, kansainvälisten asioiden johtaja, Espoo
Isotalo, Pertti Erkki, ylitarkastaja, Vantaa
Itkonen, Ahti Olavi, ympäristöneuvos, Kuopio
Jalkanen, Esko Johannes, psykiatri, Oulu
Jauhiainen, Jyrki Antero, lainsäädäntöneuvos, Helsinki
Joensuu-Sarkio, Tarja Suvi Tuulikki, pankinjohtaja, Espoo
Joiniemi, Harri Juhani, neuvotteleva virkamies, Helsinki
Jokela, Reima Veli, liiketoimintajohtaja, Kauniainen
Jokelainen, Reijo Alvari, toiminnonjohtaja, Tuusula
Joki-Tokola, Erkki Antero, vanhempi tutkija, Ruukki
Junttila, Tauno Kaarlo, maatalousylitarkastaja, Porvoo
Kaarna, Antti Juhani, maanviljelijä, Lappeenranta
Kaijanen, Seija Kaarina, hallinto-oikeussihteeri, Turku
Kaikkonen, Kari Kullervo, medialiiketoiminnan kehitysjohtaja, Lahti
Kairistola, Tiina Marjatta, viestintäpäällikkö, Jyväskylä
Kaleva, Tapio Väinö Paavo, ylitarkastaja, Helsinki
Kamppi, Nina Anneli, tutkija, Helsinki
Kangas, Reijo Markku Johannes, johtaja, Espoo
Kangaspunta, Seppo Ilmari, neuvotteleva virkamies, Helsinki
Karhunen, Minna Helena, kehitysjohtaja, Hyvinkää
Kasanen, Jyrki Ensio, apulaispoliisipäällikkö, Liperi
Kataja, Jouko Jukka-Pekka, toiminnanjohtaja, Sysmä
Kauhanen, Seppo Antero, erityisasiantuntija, Helsinki
Kauppinen, Maija Kaarina, toimittaja, Hämeenlinna
Kautiainen, Markku Mikael, geriatrian ylilääkäri, Pietarsaari
Kecskeméti, Risto István, filosofian tohtori, Vihti
Kerola, Erkki Kalevi, apulaispoliisipäällikkö, Kokkola
Keskitalo, Marjo Kristiina, erikoistutkija, Lieto
Ketonen, Armas Seet Matti, erityisasiantuntija, Tampere
Kivi, Ritva Liisa, rakennusneuvos, Espoo
Kohijoki, Eino Juhani, erityisasiantuntija, Espoo
Koivula, Reijo Antero, apulaispoliisipäällikkö, Kuortane
Koivumäki, Jukka Tapio, toimitusjohtaja, Jyväskylä
Kokko, Voitto Ilkka Juhani, erikoisasiantuntija, Muhos
Koskela, Tapio Tauno Heikki, vakuutusalueen ylilääkäri, Seinäjoki
Koski, Kirsti Kyllikki, lukion rehtori, Jyväskylä
Koski-Ahonen, Liisa Margareta, ympäristölakimies, Oulu
Koskinen, Antti Sipi Johannes, tietohallintojohtaja, Espoo
Koskinen-Ollonqvist, Pirjo Susanna, erityisasiantuntija, Helsinki
Kotilainen, Esa Markku, neurologian ylilääkäri, Turku
Kraft, Markku Olavi, erityisasiantuntija, Veikkola
Kronqvist, Bror Matts Folke, biträdande polischef, Vasa
Kuisma, Kimmo Kullervo, avohoidon ylilääkäri, Pietarsaari
Kukkamäki, Päivi Kyllikki, johtaja, Vantaa
Kupari, Ulla Kaarina, ravintolaryhmäpäällikkö, Helsinki
Kurkela, Esa Paavali, johtaja, Oulu
Kylämä, Marja, yksikön johtaja, Helsinki
Kärkkäinen, Riitta Kaarina, oikomishoidon erikoishammaslääkäri, Kuopio
Käyhkö, Esa Matti, neuvotteleva virkamies, Tampere
Kääriäinen, Heikki Tapani, asiakkuusjohtaja, Jyväskylä
Ladau-Harjulin, Ulla, lektor, Esbo
Laesterä, Eero Juhani, toimitusjohtaja, Pälkäne
Laherto, Antti Juhani, kehittämisjohtaja, Kouvola
Laihonen, Pasi Eerikki, yksikönpäällikkö, Turku
Laine, Markus Pentti Ensio, apulaisylilääkäri, Loimaa
Lampela, Martti Kalevi, toimitusjohtaja, Rovaniemi
Lampinen, Seija Marketta, verojohtaja, Iisalmi
Lappalainen, Ukko Jyri, Vice President, Helsinki
